name,gender,education_level,experience_years,score,hired
User_0,Male,Bachelor,18,75,1
User_1,Female,Bachelor,5,66,0
User_2,Male,PhD,5,77,1
User_3,Male,Bachelor,2,99,1
User_4,Male,Bachelor,6,46,1
User_5,Female,Master,18,44,0
User_6,Male,PhD,7,82,1
User_7,Male,Master,9,84,1
User_8,Male,Master,19,97,1
User_9,Female,Bachelor,14,96,0
User_10,Male,Master,14,90,1
User_11,Male,PhD,0,70,1
User_12,Male,Bachelor,19,62,0
User_13,Male,Master,6,81,1
User_14,Female,PhD,3,49,0
User_15,Male,Master,5,71,1
User_16,Female,Master,0,82,1
User_17,Female,Master,4,92,1
User_18,Female,Bachelor,0,69,0
User_19,Male,Bachelor,3,78,1
User_20,Female,PhD,1,70,0
User_21,Male,PhD,9,57,1
User_22,Female,PhD,4,75,0
User_23,Female,PhD,9,41,0
User_24,Female,Master,0,53,0
User_25,Female,Master,5,52,0
User_26,Female,Master,12,68,0
User_27,Female,Master,14,51,0
User_28,Female,Master,3,78,0
User_29,Female,Master,12,41,0
User_30,Male,PhD,19,71,1
User_31,Male,Bachelor,14,52,1
User_32,Female,Bachelor,7,85,0
User_33,Female,Bachelor,4,66,0
User_34,Female,Master,14,88,0
User_35,Male,Bachelor,3,80,1
User_36,Female,Bachelor,11,56,0
User_37,Male,Master,12,79,0
User_38,Male,Bachelor,1,70,0
User_39,Male,Master,18,73,0
User_40,Male,Bachelor,18,99,1
User_41,Male,Bachelor,3,63,0
User_42,Female,PhD,3,84,1
User_43,Female,Bachelor,10,74,0
User_44,Female,Bachelor,4,87,1
User_45,Female,Master,19,45,0
User_46,Female,Master,10,58,0
User_47,Male,Bachelor,9,69,0
User_48,Female,Master,7,46,0
User_49,Female,Bachelor,5,49,0
User_50,Male,Bachelor,5,80,1
User_51,Female,Master,7,71,0
User_52,Male,Master,14,73,1
User_53,Female,Master,13,67,0
User_54,Male,Master,10,99,1
User_55,Female,PhD,11,54,0
User_56,Female,Master,12,69,0
User_57,Male,Bachelor,7,76,0
User_58,Male,Master,17,68,0
User_59,Male,Bachelor,0,61,1
User_60,Male,Bachelor,14,43,0
User_61,Male,Bachelor,7,59,1
User_62,Male,Bachelor,10,71,1
User_63,Male,PhD,11,75,0
User_64,Male,PhD,11,89,1
User_65,Female,Master,3,43,0
